ID,Book,Author,Year,Poem,Line,Metaphor present or not,Count,Metaphor,Interpretation,Source ,Target,Mood
67,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මසන්නකුගෙන් පිය බසක්,හමගිය හිත් කබල මසමි තංගුස් නුලෙන්.,yes,1,හමගිය හිත් කබල,සපත්තු මහන්නාගේ පලුදු වු සිත හමගිය සපත්තුවක් වැනිය.,තැලි පොඩි වුන සිත,හමගිය සපත්තුව ,ශෝකය
68,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පුතෙකුගෙන් ඇසු පැනය,"පටු දිවි පොතේ අම්මා කර දුන් විවර
පිටු කීපයයි නුඹ තව කියවා ඉවර",yes,1,පටු දිවි පොතේ පිටු කිපයක්,පුතාගේ ජි්විතය තාම අත්දැකීම් අඩුය. එනිසා පුතා පටු ජි්විත පොතේ පිටු කිපයක් පමනක් කියවා ඇති බව කවියා පවසයි .,දිවි පොත,ජි්විත අත්දැකීම්,"ශෝකය, කල කිරීම"
69,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සොඳුරු යමක් සිදු වෙයි,සංකා ගඟ,yes,1,සංකා ගඟ,කවියා තනියම සිටින ගැහැනු ලමයෙකුගේ චර්යාවන් විස්තර කරයි. ඇගේ සිත සංකාවෙන් පිරි ඉතිරි ගඟක් මෙන් දෙගොඩ තලා ගලා ගියේදැයි කවියා විමසයි.,සංකාව,උතුරා යන ගඟ,"තනිකම, ශෝකය"
70,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වර්ෂා,"දකිමි නිල්පාට කෙඳි
වලා සළුවෙන් ගැලවුන",yes,1,සළුවෙන් ගැලවුන නිල් පාට කෙඳි,කවියා වාහනයේ කවුළුව අතරින් වැස්ස දෙස බලයි. වැහි බිංදු පහලට වැටෙන්නේ වැහි වලාකුළු නැමැති සළුවෙන් ගැලවි පහලට වැටෙන නිල්පාට නූල් මෙනි,වැහි බිංදු,සළුවෙන් ගැලවුන නූල්,සොබාදහමේ අසිරිය
71,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වර්ෂා,පළමු ලිය ස්පර්ශය වැනිය වර්ෂා,yes,1,කාන්තාවක් පළමු වරට ස්පර්ශ කිරිම,කවියා රථයේ කව්ළු ඇරගෙන සිටින අතර වැහි බිංදු රථය තුළට විත් ඔහුව තෙමයි. එය ඔහුට ඉතා ආස්වාදජනක අත්දැකීමකි. ඔහු එය පළමු වතාවට කාන්තාවක් ස්පර්ශ කල විට දැනෙන හැඟීමට සමාන කරයි.,වැහි බිංදු ඇගට වැටිම,කාන්තාව ස්පර්ශ කිරිම ,ආශ්වාදය
72,ඇහිපියන් ඇහැරිලා,මහින්ද ප්‍රසාද් මස්ඉඹුල,2012,දයාබර නුගේගොඩ,මනුස්සයෙකි නුඹ නම් නුබෙ නුගේගොඩ,yes,1,නුගේගොඩ නගරය මනුස්සයෙක් ලෙසට,කවියා නුගේගොඩ නගරය මනුස්සයෙකුගේ හැඩරුවට සමාන කරයි,නුගේගොඩ නගරය,මනුෂ්‍ය රූපය,කුතුහලය
73,ඇහිපියන් ඇහැරිලා,මහින්ද ප්‍රසාද් මස්ඉඹුල,2012,දයාබර නුගේගොඩ,"උඩඟුවෙන් හිස පළඳා ගත්
රිබන් පටියකින් ගුවන් පාලම",yes,1,රිබන් පටියකින් ගුවන් පාලම,නුගේගොඩ නගරය මැද ඇති ගුවන් පාලම කවියා දකින්නේ කාන්තාවක් ආඩම්බරයෙන් හිස පළඳා සිටින රිබන් පටියක් ලෙසිනි,රිබන් පටිය,ගුවන් පාලම,නගරයේ අසිරිය
74,ඇහිපියන් ඇහැරිලා,මහින්ද ප්‍රසාද් මස්ඉඹුල,2012,සෙනෙහේ අරණ,තැලුණු හැකිලුනු ජීවිතය පෙති,yes,1,ජීවිතය තැලුණු පොඩිවුණු මල් පෙත්තකි,තැලී පොඩිවී වී හෙම්බත් වූ ජීවිතය තැලුණු ඇතුළු මලක පෙති ලෙසට කවියා දකී,ජීවිතය,තැලී පොඩි වූ මල්පෙති,"ශෝකය, කලකිරීම"
75,ඇහිපියන් ඇහැරිලා,මහින්ද ප්‍රසාද් මස්ඉඹුල,2012,පින්තූර කතාව,අල්මාරියෙ වැඩ වස්න ජීවිතේ මහාවංසය,yes,1,ජීවිතේ මහාවංසය,අල්මාරියෙ විශාල පින්තූර ඇල්බමය දැන් දෙදෙනා වෙන් වී  ඇති නිසා මහවංශය සේ  ඉතිහාසයට එකතු වී ඇත,ඡායාරූප ඇල්බමය,මහා මහාවංශය,දුක
76,ඇහිපියන් ඇහැරිලා,මහින්ද ප්‍රසාද් මස්ඉඹුල,2012,සියුම්,විහිළුවක අසිපතින් හිත කැපුණු දවසකදී,yes,1,විහිළුවක අසිපතින්,අසිපත්ක් මෙන් තියුණු වූ ආදරවන්තියගේ විහිලු,හිත රිදෙන විහිලු,අසිපත,කලකිරීම
77,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,වනවිල් වියළි සඳ රැල් හැකිලී,no,0,,,,,
78,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,නෙක් දුක් දුන්නත් කමක් නැති,no,0,,,,,
79,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,ජීවිතයට හිමි නොයෙක් පෙදෙස් වල,no,0,,,,,
80,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,එක දෙක මුත් වැසි ඉසව් ඇති,no,0,,,,,
81,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,ආලෝකය එව්වාට මොකෝ ඉර,no,0,,,,,
82,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,පිච්ල්ලට පෙම් බිජු පුපුරයි,no,0,,,,,
83,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,දූවිල්ලෙන් රළු දුම් කුඩු සලුවෙන්,no,0,,,,,
84,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,නිල් මල් තෙත සේයාව වැසෙයි,no,0,,,,,
85,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,උණු සුළඟින් පිනි පළහාගෙන,no,0,,,,,
86,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,නියඟයේ රතු දිව දික් වෙන්නේ,no,0,,,,,
87,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,හෝ ගා එන වැසි නිවාවි එතකොට,no,0,,,,,
88,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කාවන්තිස්ස,හැඩි දෙමළු ලඟ,no,0,,,,,
89,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කාවන්තිස්ස,නොසිටිය හිද ඔබ?,no,0,,,,,
90,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කාවන්තිස්ස,අත අතපය දිගහැර,no,0,,,,,
91,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,මුදාගන්න යි කියන මෙන්,no,0,,,,,
92,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,දකින වර ඔබටත් හොරෙන්,no,0,,,,,
93,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,මා නෙතඟ ගන්නේ ඔවුන්,no,0,,,,,
94,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,ඉඩ නොදී මා වෙතට එන්ට හෝ එබෙන්නට,no,0,,,,,
95,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,දරුණු වී කිමද උන් දැලෙන් බැඳ තබන්නට,no,0,,,,,
96,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,රහසේම මුදු ලෙසින් එදැල් තිර ලිහන්නට,no,0,,,,,
97,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,ඉඩ දෙන්නේ දෝතින්ම ඒ  දෙදෙන මුදන්නට,no,0,,,,,
98,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,හමුවනා මුසුවී බොහෝ හසුන්,no,0,,,,,
99,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,තුඩ ගගා යත මුදා සෝසුසුම්,no,0,,,,,
100,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,නොලද නොදුටු ඔබ සුදු හසුන්,no,0,,,,,
101,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,හැම රෑක හීනෙක දැක ගනිම්,no,0,,,,,
102,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,එබැවින් වෙසෙතත් ඔබ ලැමේ,no,0,,,,,
103,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,දැන ගන් ලදුනි උන් මගේ,no,0,,,,,
104,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,දිය  පොදක් නැති,no,0,,,,,
105,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,තුරු වැලක් නැති,no,0,,,,,
106,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,තනිකමේ  කාන්තාරයේ,no,0,,,,,
107,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,සිහිසුන්ව යන්ට,no,0,,,,,
108,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,මොහොතකට පෙර දුටිමි,no,0,,,,,
109,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ගිනි සැර අවුවට ඇස් දෙක ඇරගෙන,no,0,,,,,
110,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,අතීතයේ මුළු බර කර ගහගෙන,no,0,,,,,
111,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ඒ වැලිකතරෙම ඔබ,no,0,,,,,
112,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ඔටුවෙක් වී සිනාසෙමින්,no,0,,,,,
113,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,හිමින් සැරේ ගමන් කරනු,no,0,,,,,
114,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ඔබ ඔටුවෙක් වූ කලේ කවුද,no,0,,,,,
115,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,සිත් නම් වූ මැවුම්කරු ද,no,0,,,,,
116,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,දැවෙනු නොදී ඔහු ඔබ හද,no,0,,,,,
117,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,මේ ජීවත් කරන හැටි ද,no,0,,,,,
118,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,මේ කතරට වැටෙන්න මොහොතකට කලින්,no,0,,,,,
119,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ලැබුණා නම් ඔටුවෙක් වන වරම මටත්,no,0,,,,,
120,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ලොකු මොල්ලිය තුළ,no,0,,,,,
121,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ප්‍රේමය උගුරු දෙකක් වත්,no,0,,,,,
122,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,රඳවා ගන්ට තිබිණි,no,0,,,,,
123,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ඉන් නව මිතුරන් වැඩෙන,no,0,,,,,
124,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ක්ෂේම භූමියක් දක්වා,no,0,,,,,
125,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,යෙහෙන් ගෙවා ගන්ට තිබිණි,no,0,,,,,
126,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,ඔබත් සොබාදහමත් මාත්,no,0,,,,,
127,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,තිදෙනෙක්ම සිටියෝ,no,0,,,,,
128,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,අපේ මදුසමයට,no,0,,,,,
129,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,වින්දෙමුය සරස සුව,no,0,,,,,
130,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,වෙළී තිදෙනා,no,0,,,,,
131,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,ග්‍රෙගරි වැව බඩ,no,0,,,,,
132,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,නනා ඇල් නල,no,0,,,,,
133,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,අඩ අඳුරේ පෙම් අනුරාගෙන්,no,0,,,,,
134,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,මිමිණුවේ  මුදු ගී සර රටා,no,0,,,,,
135,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,ඔබත් ඇයත් මාත්,no,0,,,,,
136,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,රියෙන් බැස ගොස්,no,0,,,,,
137,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,හිල් දිය පොකුණේ,no,0,,,,,
138,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,සෙල් තිරේ මුවා වී,no,0,,,,,
139,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,මා ඔබ සිඹින විට,no,0,,,,,
140,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,නොදත් සේ ඇය සිටියේ,no,0,,,,,
141,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,පිනි ගාගෙන රත් පතුල්වල,no,0,,,,,
142,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,සප්මින් ද අමු රාබු අල,no,0,,,,,
143,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,ඇගේ අත අරන් ඔබ,no,0,,,,,
144,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,තුටින් ඇවිද්දා උයනේ,no,0,,,,,
145,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,රැයට කවුළු හැර,no,0,,,,,
146,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,පොඩි කැලෑ මල් වලින්ය,no,0,,,,,
147,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,හන සැරසුවේ ඔබ දෙනෙන,no,0,,,,,
148,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,එක්ව සමගියෙන්,no,0,,,,,
149,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,ඒ සොඳුරු කඳුකරේ,no,0,,,,,
150,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මධු සමය,තිදෙනෙක්ම සිටියෝ මධු සමයේ,no,0,,,,,
